zip,zone,lat,lon
02576,5b,41.78,-70.75
02090,5b,42.21,-71.21
01588,5b,42.11,-71.67
02382,5b,42.08,-70.93
01887,5b,42.55,-71.16
01475,5b,42.68,-72.04
01890,5b,42.45,-71.14
01801,5b,42.48,-71.15
01602,5b,42.26,-71.8
01603,5b,42.26,-71.8
01604,5b,42.26,-71.8
01605,5b,42.26,-71.8
01606,5b,42.26,-71.8
01607,5b,42.26,-71.8
01608,5b,42.26,-71.8
01609,5b,42.26,-71.8
01610,5b,42.26,-71.8
01611,5b,42.23,-71.87
01612,5b,42.31,-71.93
01655,5b,42.26,-71.8
02093,5b,42.06,-71.33
02675,5b,41.7,-70.22
02364,5b,41.99,-70.71
02347,5b,41.85,-70.95
04406,4b,45.18,-69.45
04001,5a,43.53,-70.91
04606,4b,45.08,-67.46
04910,5a,44.53,-69.44
04002,5a,43.47,-70.71
04535,5a,44.1,-69.6
04216,5a,44.63,-70.75
04911,5a,44.79,-69.88
04732,4b,46.63,-68.4
04912,5a,44.92,-69.67
04210,5a,44.08,-70.24
04330,5a,44.33,-69.72
04408,5a,44.85,-68.32
04003,5a,43.73,-69.99
04401,5a,44.83,-68.78
04609,5a,44.38,-68.21
04653,5a,44.15,-68.43
04530,5a,43.93,-69.83
04915,5a,44.42,-69.02
04917,5a,44.44,-69.83
04918,5a,44.51,-69.84
04733,4b,45.8,-68.41
04612,5a,44.24,-68.35
03901,5a,43.26,-70.86
04217,5a,44.4,-70.79
04005,5a,43.46,-70.44
04920,4b,45.05,-69.87
04613,5a,44.38,-68.04
04614,5a,44.41,-68.58
04537,5a,43.87,-69.63
04549,5a,43.89,-69.62
04538,5a,43.85,-69.62
04008,5a,44.01,-69.89
04410,4b,45.06,-68.93
04411,5a,44.92,-68.62
04412,5a,44.77,-68.73
04735,4b,46.42,-67.84
04009,5a,44.06,-70.72
04539,5a,43.95,-69.5
04616,5a,44.26,-68.56
04921,5a,44.55,-69.12
04617,5a,44.34,-68.68
04642,5a,44.33,-68.79
04413,4b,45.52,-67.76
04010,5a,43.93,-70.9
04414,4b,45.3,-69.03
04011,5a,43.91,-69.96
04219,5a,44.37,-70.64
04220,5a,44.28,-70.36
04416,5a,44.6,-68.79
04417,4b,45.2,-68.42
04922,5a,44.69,-69.42
04619,4b,45.13,-67.2
04923,4b,45.02,-69.47
04843,5a,44.2,-69.06
04847,5a,44.26,-69.15
04924,5a,44.76,-69.56
04221,5a,44.44,-70.31
03902,5a,43.17,-70.61
04925,4b,45.23,-69.99
04418,4b,45.08,-68.59
04736,4b,46.86,-67.99
04419,5a,44.79,-69.05
04015,5a,44,-70.52
04421,5a,44.38,-68.8
04541,5a,43.88,-69.49
04422,4b,45.08,-69.04
04017,5a,43.73,-70.11
04622,5a,44.6,-67.92
04927,5a,44.63,-69.5
04623,5a,44.65,-67.72
04624,5a,44.41,-67.99
04928,5a,44.92,-69.26
04020,5a,43.8,-70.8
04021,5a,43.8,-70.25
04563,5a,44.01,-69.24
04626,5a,44.69,-67.21
04543,5a,44.03,-69.51
04424,4b,45.66,-67.86
04492,4b,45.32,-67.69
04627,5a,44.22,-68.67
04022,5a,43.97,-70.8
04628,5a,44.9,-67.22
04929,5a,44.79,-69.29
04930,4b,45.01,-69.29
04224,5a,44.53,-70.45
04932,5a,44.68,-69.16
04426,4b,45.21,-69.18
04342,5a,44.1,-69.72
04225,5a,44.62,-70.25
04739,4a,47.04,-68.59
04226,5a,44.6,-70.72
04024,5a,43.88,-70.69
04544,5a,43.82,-69.59
04427,5a,44.98,-69.01
04428,5a,44.82,-68.69
04429,5a,44.75,-68.67
04027,5a,43.39,-70.85
04228,5a,44.39,-70.12
04630,5a,44.73,-67.39
04430,4b,45.62,-68.57
04740,4b,46.64,-67.91
04631,5a,44.91,-67.01
04029,5a,43.89,-70.64
04231,5a,44.25,-70.81
04030,5a,43.6,-70.69
03903,5a,43.15,-70.8
04605,5a,44.58,-68.49
04434,5a,44.82,-69.11
04936,4b,45.21,-70.47
04435,5a,44.97,-69.14
04937,5a,44.59,-69.6
04938,5a,44.66,-70.14
04742,4b,46.76,-67.83
04737,4b,46.61,-69.52
04743,4a,47.26,-68.57
04438,5a,44.6,-68.87
04634,5a,44.58,-68.23
04941,5a,44.53,-69.29
04032,5a,43.85,-70.1
04547,5a,43.98,-69.33
04037,5a,44.01,-70.97
04344,5a,44.25,-69.78
04345,5a,44.19,-69.78
04346,5a,44.23,-69.75
04939,4b,45.03,-69.16
04548,5a,43.8,-69.74
04038,5a,43.68,-70.44
04607,5a,44.47,-68.03
04746,4a,47.3,-68.15
04039,5a,43.88,-70.33
04236,5a,44.18,-70.14
04441,4b,45.46,-69.59
04442,4b,45.47,-69.69
04443,4b,45.16,-69.38
04347,5a,44.29,-69.81
04444,5a,44.74,-68.83
04640,5a,44.52,-68.25
04237,5a,44.49,-70.69
04942,5a,44.97,-69.54
04643,5a,44.61,-67.81
04040,5a,44.11,-70.67
04943,5a,44.88,-69.45
04238,5a,44.19,-70.4
04041,5a,43.87,-70.8
04042,5a,43.59,-70.6
04730,4b,46.11,-67.83
04448,4b,45.25,-68.66
04449,4b,45,-68.88
04747,4b,46,-68.27
04848,5a,44.3,-68.9
04945,4b,45.62,-70.25
04239,5a,44.5,-70.21
04348,5a,44.2,-69.45
04648,5a,44.66,-67.57
04649,5a,44.53,-67.59
04450,5a,44.91,-68.93
04043,5a,43.38,-70.54
04046,5a,43.35,-70.46
04349,5a,44.43,-70.07
04047,5a,43.72,-70.92
04947,5a,44.95,-70.15
04451,4b,45.54,-68.2
03904,5a,43.09,-70.73
03905,5a,43.08,-70.69
04453,4b,45.16,-68.84
04455,4b,45.36,-68.28
04263,5a,44.3,-70.12
04456,5a,44.86,-68.93
04240,5a,44.08,-70.17
04949,5a,44.38,-69.3
04048,5a,43.68,-70.79
04750,4b,46.91,-67.83
04049,5a,43.73,-70.71
04457,4b,45.36,-68.5
04849,5a,44.28,-69
04222,5a,43.92,-70.12
04250,5a,44.01,-70.12
04252,5a,44,-70.05
04350,5a,44.13,-69.96
04650,5a,44.28,-68.71
04253,5a,44.33,-70.24
04254,5a,44.47,-70.18
04255,5a,44.4,-70.7
04050,5a,43.69,-70.15
04051,5a,44.12,-70.89
04652,5a,44.79,-67.11
04654,5a,44.7,-67.47
04686,5a,44.95,-67.66
04655,5a,44.69,-67.39
04756,4a,47.34,-68.33
04950,5a,44.79,-69.88
04351,5a,44.32,-69.86
04757,4b,46.68,-68.16
04758,4b,46.51,-67.86
04459,4b,45.51,-68.35
04256,5a,44.11,-70.39
04657,4b,45.03,-67.35
04551,5a,44,-69.42
04460,4b,45.6,-68.53
04257,5a,44.56,-70.54
04658,5a,44.52,-67.88
04461,5a,44.94,-68.64
04462,4b,45.65,-68.69
04463,4b,45.25,-68.98
04258,5a,44.08,-70.32
04259,5a,44.23,-70.01
04951,5a,44.61,-69.01
04464,4b,45.28,-69.5
04760,4b,46.3,-67.84
04952,5a,44.44,-69.14
04660,5a,44.31,-68.36
04352,5a,44.5,-69.98
04055,5a,43.97,-70.6
04553,5a,44.03,-69.53
04260,5a,43.96,-70.28
04554,5a,43.85,-69.5
04558,5a,43.89,-69.52
04953,5a,44.83,-69.26
04261,5a,44.48,-70.78
04955,5a,44.63,-70.01
04762,4b,46.94,-68.12
04956,5a,44.8,-70.12
04555,5a,44.07,-69.48
04957,5a,44.71,-69.79
04958,5a,44.95,-69.94
03906,5a,43.3,-70.73
04556,5a,43.95,-69.63
04853,5a,44.15,-68.86
04265,5a,44.27,-70.05
04961,4b,45.01,-70.08
04664,5a,44.53,-68.15
04962,5a,44.48,-69.56
04061,5a,43.63,-70.73
04353,5a,44.17,-69.62
04062,5a,43.79,-70.4
04268,5a,44.21,-70.55
04763,4b,46.09,-68.15
04963,5a,44.55,-69.71
03907,5a,43.24,-70.59
04064,5a,43.52,-70.38
04468,5a,44.95,-68.73
04471,4b,45.81,-67.84
04472,5a,44.57,-68.73
04473,5a,44.88,-68.68
04474,5a,44.73,-68.82
04066,5a,43.77,-69.96
04854,5a,44.08,-69.05
04764,4b,46.41,-68.49
04270,5a,44.14,-70.5
04354,5a,44.4,-69.47
04965,5a,44.84,-69.35
04475,4b,45.18,-68.61
04765,4b,45.99,-68.44
04666,5a,44.95,-67.16
04476,5a,44.46,-68.71
04766,4b,46.84,-68.19
04667,5a,44.97,-67.07
04966,5a,44.82,-70.34
04562,5a,43.82,-69.81
04967,5a,44.77,-69.38
04969,5a,44.76,-69.21
04274,5a,44.06,-70.39
04768,4b,46.76,-68.47
04068,5a,43.79,-70.93
04101,5a,43.66,-70.25
04102,5a,43.66,-70.25
04103,5a,43.66,-70.25
04105,5a,43.72,-70.24
04106,5a,43.63,-70.28
04107,5a,43.56,-70.2
04108,5a,43.66,-70.18
04109,5a,43.66,-70.25
04110,5a,43.75,-70.2
04069,5a,43.89,-70.18
04769,4b,46.68,-67.98
04668,4b,45.22,-67.57
04669,5a,44.42,-68.03
04970,5a,44.96,-70.64
04071,5a,43.9,-70.47
04355,5a,44.38,-69.96
04357,5a,44.08,-69.79
04671,4b,45.06,-67.16
04841,5a,44.12,-69.13
04856,5a,44.18,-69.07
04478,4b,45.67,-69.74
04564,5a,43.91,-69.46
04275,5a,44.66,-70.59
04276,5a,44.54,-70.56
04280,5a,44.11,-70.1
04072,5a,43.53,-70.45
04772,4a,47.24,-68.31
04971,5a,44.91,-69.41
04773,4a,47.31,-68.22
04774,4a,47.17,-68.89
04073,5a,43.44,-70.78
04479,4b,45.16,-69.35
04074,5a,43.59,-70.33
04674,5a,44.3,-68.41
04973,5a,44.36,-69.19
04974,5a,44.46,-68.91
04673,5a,44.32,-68.7
04676,5a,44.3,-68.61
04076,5a,43.54,-70.84
04776,4b,45.81,-68.31
04777,4b,45.89,-68.43
04779,4a,47.16,-68.3
04976,5a,44.77,-69.71
04978,5a,44.63,-69.8
04780,4b,46.12,-68.16
04781,4a,47.15,-68.57
04979,5a,44.94,-69.85
04677,5a,44.49,-68.18
03908,5a,43.23,-70.81
04568,5a,43.86,-69.56
04358,5a,44.39,-69.58
04013,5a,43.79,-70.07
04079,5a,43.8,-69.98
04281,5a,44.21,-70.51
04858,5a,44.05,-69.12
04679,5a,44.27,-68.33
04487,4b,45.39,-68.13
04083,5a,43.46,-70.8
04859,5a,44.01,-69.17
04084,5a,43.73,-70.55
04085,5a,43.76,-70.64
04488,5a,44.89,-69.14
04680,5a,44.51,-67.96
04783,4a,47.04,-68.14
04981,5a,44.48,-68.85
04681,5a,44.18,-68.67
04982,4b,45.14,-70.44
04983,5a,44.8,-70.22
04683,5a,44.22,-68.7
04684,5a,44.49,-68.5
04685,5a,44.14,-68.45
04984,5a,44.68,-70.22
04860,5a,43.95,-69.23
04861,5a,44.08,-69.18
04986,5a,44.57,-69.27
04490,4b,45.41,-67.73
04086,5a,43.93,-69.94
04571,5a,43.89,-69.67
04987,5a,44.66,-69.24
04282,5a,44.25,-70.25
04862,5a,44.21,-69.27
04988,5a,44.61,-69.33
04745,4a,47.28,-68.38
04785,4a,47.16,-67.95
04989,5a,44.45,-69.67
04360,5a,44.53,-69.98
04863,5a,44.04,-68.83
04572,5a,44.09,-69.38
04573,5a,43.94,-69.55
04864,5a,44.12,-69.24
04786,4b,46.79,-68.15
04574,5a,44.27,-69.36
04087,5a,43.53,-70.71
04088,5a,44.18,-70.71
04901,5a,44.56,-69.55
04284,5a,44.34,-70.06
04285,5a,44.69,-70.42
04090,5a,43.32,-70.58
04091,5a,43.83,-70.77
04287,5a,44.04,-70.02
04092,5a,43.69,-70.35
04093,5a,43.66,-70.6
04493,4b,45.26,-68.58
04787,4b,46.57,-67.92
04985,4b,45.42,-69.97
04095,5a,43.64,-70.92
04289,5a,44.32,-70.57
04290,5a,44.5,-70.4
04576,5a,43.84,-69.65
04292,5a,44.39,-70.43
04691,5a,44.79,-67.17
04294,5a,44.59,-70.23
04363,5a,44.31,-69.58
04495,4b,45.48,-68.37
04693,5a,44.39,-68.08
04496,5a,44.65,-68.85
04364,5a,44.31,-69.96
04578,5a,44.01,-69.67
04694,4b,45.09,-67.46
04579,5a,43.96,-69.78
04497,4b,45.64,-68.07
04096,5a,43.79,-70.2
04097,5a,43.84,-70.21
03909,5a,43.14,-70.65
03601,5a,43.21,-72.29
03602,5a,43.15,-72.36
03607,5a,43.18,-72.32
03809,5a,43.45,-71.21
03810,5a,43.48,-71.24
03031,5b,42.86,-71.61
03216,5a,43.43,-71.82
